PAC II,CSCI-GA.1144,4,Graduate-level. Spring.,Prerequisites: CSCI-GA 1133 or departmental permission.,"This course builds directly on the foundation developed in PAC I, covering the essentials of computer organization through the study of assembly language programming and C, as well as introducing the students to the analysis of algorithms. Topics include: (1) Assembly language programming for the Intel chip family, emphasizing computer organization, the Intel x86 instruction set, the logic of machine addressing, registers and the system stack. (2) Programming in the C language, a general-purpose programming language which also has low-level features for systems programming. (3) An introduction to algorithms, including searching, sorting, graph algorithms and asymptotic complexity. Examples and assignments reinforce and refine those first seen in PAC I and often connect directly to topics in the core computer science graduate courses, such as Programming Languages, Fundamental Algorithms, and Operating Systems",7,0,NULL,Mohamed Zahran,1,CIWW 312,https://cs.nyu.edu/media/faculty_photos/Zahran_16-0015_0337_250x250.jpg
Fundamental Algorithms,CSCI-GA.1170,3,"Graduate-level. Fall, Spring, Summer.","Prerequisites: At least one year of experience with a high-level language such as Pascal, C, C++, or Java; and familiarity with recursive programming methods and with data structures (arrays, pointers, stacks, queues, linked lists, binary trees).","Reviews a number of important algorithms, with emphasis on correctness and efficiency. The topics covered include solution of recurrence equations, sorting algorithms, selection, binary search trees and balanced-tree strategies, tree traversal, partitioning, graphs, spanning trees, shortest paths, connectivity, depth-first and breadth-first search, dynamic programming, and divide-and-conquer techniques.",4,0,NULL,Joel Spencer,1,CIWW 109,https://cs.nyu.edu/media/faculty_photos/Spencer_16-0015_1314_250x250.jpg
Programming Languages,CSCI-GA.2110,3,"Graduate-level. Fall, Spring, Summer.",Prerequisites: Students taking this class should already have substantial programming experience.,"Discusses the design, use, and implementation of imperative, object-oriented, and functional programming languages. The topics covered include scoping, type systems, control structures, functions, modules, object orientation, exception handling, and concurrency. A variety of languages are studied, including C++, Java, Ada, Lisp, and ML, and concepts are reinforced by programming exercises",7,0,NULL,Benjamin Goldberg,1,CIWW 109,https://cs.nyu.edu/media/faculty_photos/Goldberg_250x250.jpg
Operating Systems,CSCI-GA.2250,3,"Graduate-level. Fall, Spring, Summer.",Prerequisites: None,"The topics covered include a review of linkers and loaders and the high-level design of key operating systems concepts such as process scheduling and synchronization; deadlocks and their prevention; memory management, including (demand) paging and segmentation; and I/O and file systems, with examples from Unix/Linux and Windows. Programming assignments may require C, C++, Java, or C#.",5,0,NULL,Hubertus Franke,1,CIWW 109,https://cims.nyu.edu/~frankeh/hubertusfranke.jpg
Database Systems,CSCI-GA.2433,3,"Graduate-level. Fall, Spring.",Prerequisites: None,Database system architecture. Modeling an application and logical database design. The relational model and relational data definition and data manipulation languages. Design of relational databases and normalization theory. Physical database design. Concurrency and recovery. Query processing and optimization.,4,0,NULL,Zvi Kedem,1,CIWW 101,https://cs.nyu.edu/media/faculty_photos/Kedem_16-0015_0426_250x250.jpg
Software Engineering,CSCI-GA.2440,3,Graduate-level. Spring.,"Prerequisites: CSCI-GA 1170, CSCI-GA 2110, and CSCI-GA 2250","This is a capstone course focusing on large-scale software development. This course presents modern software engineering techniques and examines the software life cycle, including software specification, design, implementation, testing, and maintenance. Object-oriented design methods are also considered. Software engineering projects involve creation of a large-scale software system and require some or all of the following elements: formation of a small team, project proposal, literature review, interim report, project presentation, and final report.",7,0,NULL,Jean Claude Franchitti,1,CIWW 312,https://cs.nyu.edu/media/faculty_photos/Franchitti_250x250.jpg
Web Search Engines,CSCI-GA.2580,3,"Graduate-level. Fall, Spring.",Prerequisites: Recommend CSCI-GA 1180.,"Discusses the design of general and specialized Web search engines and the extraction of information from the results of Web search engines. Topics include Web crawlers, database design, query language, relevance ranking, document similarity and clustering, the �invisible� Web, specialized search engines, evaluation, natural language processing, data mining applied to the Web, and multimedia retrieval.",6,0,NULL,Ernest Davis,1,CIWW 102,https://cs.nyu.edu/media/faculty_photos/Davis_16-0015_0748_250x250.jpg
Special Topic: Big Data Science,CSCI-GA.3033,3,"Graduate-level. Fall, Spring, Summer.",Prerequisites: Prerequisites vary according to topic.,Topics vary each semester.,3,0,NULL,Anasse Bari,1,60 Fifth Ave C10,https://cs.nyu.edu/media/faculty_photos/Bari_16-0015_0795_250x250.jpg
Special Topic: Social Networks,CSCI-GA.3033,3,"Graduate-level. Fall, Spring, Summer.",Prerequisites: Prerequisites vary according to topic.,Topics vary each semester.,2,0,NULL,Bhubaneswar Mishra,2,CIWW 201,https://cs.nyu.edu/media/faculty_photos/Mishra_16-0015_0263_250x250.jpg
Special Topic: Cloud Computing,CSCI-GA.3033,3,"Graduate-level. Fall, Spring, Summer.",Prerequisites: Prerequisites vary according to topic.,Topics vary each semester.,4,0,NULL,Jean Claude Franchitti,10,CIWW 102,https://cs.nyu.edu/media/faculty_photos/Franchitti_250x250.jpg
Special Topic: DevOps,CSCI-GA.3033,3,"Graduate-level. Fall, Spring, Summer.",Prerequisites: Prerequisites vary according to topic.,Topics vary each semester.,1,0,NULL,John Rofrano,13,CIWW 317,https://avatars.githubusercontent.com/u/5069008?v=4
Intro To Computer Programming,CSCI-UA.0002,4,"Undergraduate-level. Fall, Spring, Summer.",Prerequisites: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with any programming experience should consult with the department before registering. Students with any reported score on the Computer Science AP examination cannot enroll in this course; Albert will block them from registering for it. Students who have taken or are taking Introduction to Computer Science (CSCI-UA 101) will not receive credit for this course. Does not count toward the computer science major; serves as the prerequisite for students with no previous programming experience who want to continue into CSCI-UA 101 and pursue the major. Students may not receive credit for both CSCI-UA 2 and CSCI-UA 3.,"An introduction to the fundamentals of computer programming, which is the foundation of computer science. Students design, write, and debug computer programs. No knowledge of programming is assumed.",4,0,NULL,Joseph Versoza,2,CIWW 312,https://cs.nyu.edu/media/faculty_photos/Versoza_16-0015_0393_250x250.jpg
